Load,Method,Metric,Type,Block,Value
Light,OR-DRL,delay,I,1,13.854
Light,OR-DRL,delay,I,2,12.595999999999998
Light,OR-DRL,delay,I,3,15.686
Light,OR-DRL,delay,I,4,12.332000000000003
Light,OR-DRL,delay,I,5,14.052000000000003
Light,OR-DRL,delay,I,6,18.744
Light,OR-DRL,delay,I,7,11.948
Light,OR-DRL,delay,I,8,12.495999999999999
Light,OR-DRL,delay,I,9,10.590000000000002
Light,OR-DRL,delay,I,10,13.370000000000003
Light,OR-DRL,delay,I,11,16.722
Light,OR-DRL,delay,I,12,14.928000000000003
Light,OR-DRL,delay,I,13,19.64
Light,OR-DRL,delay,I,14,14.562000000000003
Light,OR-DRL,delay,I,15,18.672
Light,OR-DRL,delay,I,16,19.548
Light,OR-DRL,delay,I,17,21.25999999999999
Light,OR-DRL,delay,I,18,15.986
Light,OR-DRL,delay,I,19,13.926000000000002
Light,OR-DRL,delay,I,20,12.204000000000002
Light,OR-DRL,delay,I,21,11.820000000000002
Light,OR-DRL,delay,I,22,12.056000000000001
Light,OR-DRL,delay,I,23,11.842
Light,OR-DRL,delay,I,24,12.314
Light,OR-DRL,delay,I,25,14.751999999999999
Light,OR-DRL,delay,I,26,11.520000000000003
Light,OR-DRL,delay,I,27,12.438000000000002
Light,OR-DRL,delay,I,28,15.126
Light,OR-DRL,delay,I,29,20.668000000000003
Light,OR-DRL,delay,I,30,16.652
Light,OR-DRL,delay,I,31,13.368000000000002
Light,OR-DRL,delay,I,32,11.818
Light,OR-DRL,delay,I,33,11.426000000000002
Light,OR-DRL,delay,I,34,12.328000000000001
Light,OR-DRL,delay,I,35,17.516
Light,OR-DRL,delay,I,36,14.19
Light,OR-DRL,delay,I,37,11.646
Light,OR-DRL,delay,I,38,15.844000000000001
Light,OR-DRL,delay,I,39,15.468
Light,OR-DRL,delay,I,40,17.51
Light,OR-DRL,delay,I,41,12.374
Light,OR-DRL,delay,I,42,12.534
Light,OR-DRL,delay,I,43,14.726
Light,OR-DRL,delay,I,44,18.910000000000004
Light,OR-DRL,delay,I,45,10.204
Light,OR-DRL,delay,I,46,12.654000000000002
Light,OR-DRL,delay,I,47,12.755999999999998
Light,OR-DRL,delay,I,48,15.4
Light,OR-DRL,delay,I,49,19.052
Light,OR-DRL,delay,I,50,15.488000000000001
Light,OR-DRL,delay,III,1,13.60433333
Light,OR-DRL,delay,III,2,13.111666679999999
Light,OR-DRL,delay,III,3,13.184666650000002
Light,OR-DRL,delay,III,4,12.058
Light,OR-DRL,delay,III,5,22.03766662
Light,OR-DRL,delay,III,6,12.035333330000004
Light,OR-DRL,delay,III,7,13.770333310000002
Light,OR-DRL,delay,III,8,12.03399995
Light,OR-DRL,delay,III,9,14.193666650000003
Light,OR-DRL,delay,III,10,12.454666679999997
Light,OR-DRL,delay,III,11,13.03533335
Light,OR-DRL,delay,III,12,24.039999999999996
Light,OR-DRL,delay,III,13,17.77066667
Light,OR-DRL,delay,III,14,12.988666619999996
Light,OR-DRL,delay,III,15,15.307666630000002
Light,OR-DRL,delay,III,16,12.669999999999998
Light,OR-DRL,delay,III,17,14.36699995
Light,OR-DRL,delay,III,18,11.28266664
Light,OR-DRL,delay,III,19,13.590999959999998
Light,OR-DRL,delay,III,20,11.804666680000002
Light,OR-DRL,delay,III,21,12.42799998
Light,OR-DRL,delay,III,22,20.072666680000005
Light,OR-DRL,delay,III,23,16.35633332
Light,OR-DRL,delay,III,24,13.541333320000001
Light,OR-DRL,delay,III,25,12.931333299999999
Light,OR-DRL,delay,III,26,13.255999980000002
Light,OR-DRL,delay,III,27,13.02666662
Light,OR-DRL,delay,III,28,16.62633337
Light,OR-DRL,delay,III,29,12.523666639999998
Light,OR-DRL,delay,III,30,12.345000010000001
Light,OR-DRL,delay,III,31,11.665333300000002
Light,OR-DRL,delay,III,32,15.864
Light,OR-DRL,delay,III,33,13.875666680000002
Light,OR-DRL,delay,III,34,19.39199997
Light,OR-DRL,delay,III,35,12.55599996
Light,OR-DRL,delay,III,36,13.435333320000002
Light,OR-DRL,delay,III,37,12.751666659999998
Light,OR-DRL,delay,III,38,12.48733332
Light,OR-DRL,delay,III,39,15.798000000000002
Light,OR-DRL,delay,III,40,18.31499995
Light,OR-DRL,delay,III,41,12.518999979999998
Light,OR-DRL,delay,III,42,13.434999979999997
Light,OR-DRL,delay,III,43,13.695000010000001
Light,OR-DRL,delay,III,44,11.37066668
Light,OR-DRL,delay,III,45,12.40433333
Light,OR-DRL,delay,III,46,16.25466671
Light,OR-DRL,delay,III,47,12.13466666
Light,OR-DRL,delay,III,48,11.829666620000001
Light,OR-DRL,delay,III,49,12.451666670000002
Light,OR-DRL,delay,III,50,12.874999970000001
Light,OR-DRL,delay,IV,1,11.750200000000001
Light,OR-DRL,delay,IV,2,13.714799999999999
Light,OR-DRL,delay,IV,3,12.240200000000002
Light,OR-DRL,delay,IV,4,12.339999999999998
Light,OR-DRL,delay,IV,5,13.446999999999997
Light,OR-DRL,delay,IV,6,12.490399999999998
Light,OR-DRL,delay,IV,7,12.504199999999999
Light,OR-DRL,delay,IV,8,13.7642
Light,OR-DRL,delay,IV,9,12.972599999999998
Light,OR-DRL,delay,IV,10,12.8432
Light,OR-DRL,delay,IV,11,12.886999999999999
Light,OR-DRL,delay,IV,12,16.107
Light,OR-DRL,delay,IV,13,15.033800000000001
Light,OR-DRL,delay,IV,14,13.355199999999998
Light,OR-DRL,delay,IV,15,22.500599999999995
Light,OR-DRL,delay,IV,16,11.697199999999999
Light,OR-DRL,delay,IV,17,15.918
Light,OR-DRL,delay,IV,18,12.904199999999998
Light,OR-DRL,delay,IV,19,12.8006
Light,OR-DRL,delay,IV,20,12.769399999999996
Light,OR-DRL,delay,IV,21,12.696
Light,OR-DRL,delay,IV,22,12.288399999999998
Light,OR-DRL,delay,IV,23,13.374599999999997
Light,OR-DRL,delay,IV,24,16.414999999999996
Light,OR-DRL,delay,IV,25,11.385199999999998
Light,OR-DRL,delay,IV,26,12.8922
Light,OR-DRL,delay,IV,27,16.904999999999998
Light,OR-DRL,delay,IV,28,11.987999999999998
Light,OR-DRL,delay,IV,29,12.731800000000003
Light,OR-DRL,delay,IV,30,12.6994
Light,OR-DRL,delay,IV,31,12.2458
Light,OR-DRL,delay,IV,32,16.8526
Light,OR-DRL,delay,IV,33,17.710399999999996
Light,OR-DRL,delay,IV,34,12.307799999999997
Light,OR-DRL,delay,IV,35,12.9646
Light,OR-DRL,delay,IV,36,12.705199999999998
Light,OR-DRL,delay,IV,37,17.897199999999998
Light,OR-DRL,delay,IV,38,13.250399999999999
Light,OR-DRL,delay,IV,39,13.555999999999997
Light,OR-DRL,delay,IV,40,18.749
Light,OR-DRL,delay,IV,41,11.889
Light,OR-DRL,delay,IV,42,14.068599999999998
Light,OR-DRL,delay,IV,43,12.650799999999998
Light,OR-DRL,delay,IV,44,12.033400000000002
Light,OR-DRL,delay,IV,45,12.590799999999996
Light,OR-DRL,delay,IV,46,11.287799999999997
Light,OR-DRL,delay,IV,47,12.311399999999999
Light,OR-DRL,delay,IV,48,15.765999999999998
Light,OR-DRL,delay,IV,49,13.095599999999997
Light,OR-DRL,delay,IV,50,11.388799999999998
Light,OR-DRL,throughput,II,1,98.51574161666667
Light,OR-DRL,throughput,II,2,97.49475651466666
Light,OR-DRL,throughput,II,3,97.68382252933334
Light,OR-DRL,throughput,II,4,98.56337045599999
Light,OR-DRL,throughput,II,5,97.472339496
Light,OR-DRL,throughput,II,6,97.76100266866668
Light,OR-DRL,throughput,II,7,97.7672283426667
Light,OR-DRL,throughput,II,8,97.12496982799999
Light,OR-DRL,throughput,II,9,97.30742684000002
Light,OR-DRL,throughput,II,10,96.502308586
Light,OR-DRL,throughput,II,11,98.57624322866664
Light,OR-DRL,throughput,II,12,96.05582202200002
Light,OR-DRL,throughput,II,13,98.39697753266664
Light,OR-DRL,throughput,II,14,98.29388163200001
Light,OR-DRL,throughput,II,15,97.82523151733334
Light,OR-DRL,throughput,II,16,96.66657943333331
Light,OR-DRL,throughput,II,17,98.44435655266666
Light,OR-DRL,throughput,II,18,99.089297012
Light,OR-DRL,throughput,II,19,99.028134674
Light,OR-DRL,throughput,II,20,98.159679096
Light,OR-DRL,throughput,II,21,96.84348844999998
Light,OR-DRL,throughput,II,22,96.62603754066667
Light,OR-DRL,throughput,II,23,97.17426716
Light,OR-DRL,throughput,II,24,97.54763183666668
Light,OR-DRL,throughput,II,25,96.542325158
Light,OR-DRL,throughput,II,26,95.95834830133332
Light,OR-DRL,throughput,II,27,98.34719401133333
Light,OR-DRL,throughput,II,28,94.60108786400001
Light,OR-DRL,throughput,II,29,95.45429753933337
Light,OR-DRL,throughput,II,30,98.79483943266666
Light,OR-DRL,throughput,II,31,98.29473795066667
Light,OR-DRL,throughput,II,32,95.78167547000001
Light,OR-DRL,throughput,II,33,97.16170657666667
Light,OR-DRL,throughput,II,34,98.54690736533331
Light,OR-DRL,throughput,II,35,97.58505487066667
Light,OR-DRL,throughput,II,36,99.52408902066666
Light,OR-DRL,throughput,II,37,98.76882075466665
Light,OR-DRL,throughput,II,38,97.29157974066666
Light,OR-DRL,throughput,II,39,97.19834611199998
Light,OR-DRL,throughput,II,40,97.04832423600003
Light,OR-DRL,throughput,II,41,97.20066300066667
Light,OR-DRL,throughput,II,42,97.92556030066663
Light,OR-DRL,throughput,II,43,98.00475926533332
Light,OR-DRL,throughput,II,44,98.04771534666666
Light,OR-DRL,throughput,II,45,98.10757727599999
Light,OR-DRL,throughput,II,46,96.97794107466667
Light,OR-DRL,throughput,II,47,96.76309625533331
Light,OR-DRL,throughput,II,48,99.19311291533333
Light,OR-DRL,throughput,II,49,98.42286081733337
Light,OR-DRL,throughput,II,50,97.86852129000003
Light,OR-DRL,throughput,III,1,98.60950899133336
Light,OR-DRL,throughput,III,2,97.74621585599998
Light,OR-DRL,throughput,III,3,97.50093714799999
Light,OR-DRL,throughput,III,4,98.614355046
Light,OR-DRL,throughput,III,5,98.42913842066666
Light,OR-DRL,throughput,III,6,98.28418229199998
Light,OR-DRL,throughput,III,7,98.77310405733333
Light,OR-DRL,throughput,III,8,97.58339758733335
Light,OR-DRL,throughput,III,9,99.12029427000002
Light,OR-DRL,throughput,III,10,101.136385082
Light,OR-DRL,throughput,III,11,98.47176118000002
Light,OR-DRL,throughput,III,12,95.97456227333333
Light,OR-DRL,throughput,III,13,98.77615510866669
Light,OR-DRL,throughput,III,14,99.61142598133334
Light,OR-DRL,throughput,III,15,98.70930691133333
Light,OR-DRL,throughput,III,16,99.092404722
Light,OR-DRL,throughput,III,17,96.75790691333333
Light,OR-DRL,throughput,III,18,99.77974115799998
Light,OR-DRL,throughput,III,19,97.67179041066666
Light,OR-DRL,throughput,III,20,98.96724525466665
Light,OR-DRL,throughput,III,21,98.65124240200001
Light,OR-DRL,throughput,III,22,97.81598742733333
Light,OR-DRL,throughput,III,23,99.24901007866669
Light,OR-DRL,throughput,III,24,99.51891422133335
Light,OR-DRL,throughput,III,25,98.73594593199999
Light,OR-DRL,throughput,III,26,99.99663618199999
Light,OR-DRL,throughput,III,27,98.32848786533333
Light,OR-DRL,throughput,III,28,98.50289272733333
Light,OR-DRL,throughput,III,29,97.520886256
Light,OR-DRL,throughput,III,30,98.74190742133334
Light,OR-DRL,throughput,III,31,99.73280412266668
Light,OR-DRL,throughput,III,32,97.89251477533332
Light,OR-DRL,throughput,III,33,98.80870026533331
Light,OR-DRL,throughput,III,34,98.24151432999999
Light,OR-DRL,throughput,III,35,99.10533679199997
Light,OR-DRL,throughput,III,36,99.22527857000003
Light,OR-DRL,throughput,III,37,98.84853428799997
Light,OR-DRL,throughput,III,38,98.37092379133334
Light,OR-DRL,throughput,III,39,97.91643475200003
Light,OR-DRL,throughput,III,40,99.60962235466668
Light,OR-DRL,throughput,III,41,98.08168366133336
Light,OR-DRL,throughput,III,42,98.72067141666666
Light,OR-DRL,throughput,III,43,98.69173286466666
Light,OR-DRL,throughput,III,44,99.19047764066667
Light,OR-DRL,throughput,III,45,99.55813435866666
Light,OR-DRL,throughput,III,46,98.65654586400002
Light,OR-DRL,throughput,III,47,98.42721224200001
Light,OR-DRL,throughput,III,48,99.30401221333332
Light,OR-DRL,throughput,III,49,98.62959525400001
Light,OR-DRL,throughput,III,50,99.829736158
Light,OR-DRL,loss,IV,1,0.91369
Light,OR-DRL,loss,IV,2,0.8832749999999998
Light,OR-DRL,loss,IV,3,0.618331
Light,OR-DRL,loss,IV,4,0.47807099999999997
Light,OR-DRL,loss,IV,5,0.6971260000000001
Light,OR-DRL,loss,IV,6,0.9631789999999999
Light,OR-DRL,loss,IV,7,0.462181
Light,OR-DRL,loss,IV,8,0.565933
Light,OR-DRL,loss,IV,9,1.136556
Light,OR-DRL,loss,IV,10,0.7718349999999999
Light,OR-DRL,loss,IV,11,0.5424459999999999
Light,OR-DRL,loss,IV,12,0.670106
Light,OR-DRL,loss,IV,13,1.0782470000000002
Light,OR-DRL,loss,IV,14,0.7257759999999999
Light,OR-DRL,loss,IV,15,0.57558
Light,OR-DRL,loss,IV,16,0.964137
Light,OR-DRL,loss,IV,17,1.0184119999999999
Light,OR-DRL,loss,IV,18,1.004459
Light,OR-DRL,loss,IV,19,1.217554
Light,OR-DRL,loss,IV,20,1.045661
Light,OR-DRL,loss,IV,21,0.39887700000000004
Light,OR-DRL,loss,IV,22,1.076116
Light,OR-DRL,loss,IV,23,0.6366729999999999
Light,OR-DRL,loss,IV,24,0.851781
Light,OR-DRL,loss,IV,25,0.29442500000000005
Light,OR-DRL,loss,IV,26,0.7563559999999999
Light,OR-DRL,loss,IV,27,1.4629700000000003
Light,OR-DRL,loss,IV,28,0.45760200000000006
Light,OR-DRL,loss,IV,29,0.557316
Light,OR-DRL,loss,IV,30,0.8354460000000001
Light,OR-DRL,loss,IV,31,1.072337
Light,OR-DRL,loss,IV,32,1.12707
Light,OR-DRL,loss,IV,33,0.80499
Light,OR-DRL,loss,IV,34,0.488288
Light,OR-DRL,loss,IV,35,0.721358
Light,OR-DRL,loss,IV,36,1.178678
Light,OR-DRL,loss,IV,37,0.8004760000000001
Light,OR-DRL,loss,IV,38,0.991054
Light,OR-DRL,loss,IV,39,0.830355
Light,OR-DRL,loss,IV,40,0.771926
Light,OR-DRL,loss,IV,41,0.695497
Light,OR-DRL,loss,IV,42,0.5496989999999999
Light,OR-DRL,loss,IV,43,0.7332669999999999
Light,OR-DRL,loss,IV,44,0.6720229999999999
Light,OR-DRL,loss,IV,45,0.42379599999999995
Light,OR-DRL,loss,IV,46,0.376353
Light,OR-DRL,loss,IV,47,0.7748249999999999
Light,OR-DRL,loss,IV,48,0.8862390000000001
Light,OR-DRL,loss,IV,49,0.945136
Light,OR-DRL,loss,IV,50,1.2425299999999997
Light,OR-MAPPO,delay,I,1,14.503999999999998
Light,OR-MAPPO,delay,I,2,12.566
Light,OR-MAPPO,delay,I,3,13.114000000000003
Light,OR-MAPPO,delay,I,4,12.265999999999998
Light,OR-MAPPO,delay,I,5,11.812000000000001
Light,OR-MAPPO,delay,I,6,18.88
Light,OR-MAPPO,delay,I,7,12.952
Light,OR-MAPPO,delay,I,8,16.016
Light,OR-MAPPO,delay,I,9,12.675999999999998
Light,OR-MAPPO,delay,I,10,11.7
Light,OR-MAPPO,delay,I,11,12.456000000000001
Light,OR-MAPPO,delay,I,12,11.902000000000001
Light,OR-MAPPO,delay,I,13,11.901999999999997
Light,OR-MAPPO,delay,I,14,15.792000000000003
Light,OR-MAPPO,delay,I,15,11.562000000000001
Light,OR-MAPPO,delay,I,16,14.574000000000002
Light,OR-MAPPO,delay,I,17,13.248000000000001
Light,OR-MAPPO,delay,I,18,11.950000000000005
Light,OR-MAPPO,delay,I,19,12.82
Light,OR-MAPPO,delay,I,20,11.664000000000003
Light,OR-MAPPO,delay,I,21,13.514
Light,OR-MAPPO,delay,I,22,12.548000000000002
Light,OR-MAPPO,delay,I,23,12.575999999999999
Light,OR-MAPPO,delay,I,24,12.72
Light,OR-MAPPO,delay,I,25,12.926000000000002
Light,OR-MAPPO,delay,I,26,12.36
Light,OR-MAPPO,delay,I,27,10.728
Light,OR-MAPPO,delay,I,28,12.716
Light,OR-MAPPO,delay,I,29,16.666
Light,OR-MAPPO,delay,I,30,14.14
Light,OR-MAPPO,delay,I,31,17.472
Light,OR-MAPPO,delay,I,32,12.462000000000003
Light,OR-MAPPO,delay,I,33,12.228
Light,OR-MAPPO,delay,I,34,10.832
Light,OR-MAPPO,delay,I,35,11.736
Light,OR-MAPPO,delay,I,36,16.66
Light,OR-MAPPO,delay,I,37,14.984000000000002
Light,OR-MAPPO,delay,I,38,13.104000000000001
Light,OR-MAPPO,delay,I,39,12.062000000000001
Light,OR-MAPPO,delay,I,40,16.79
Light,OR-MAPPO,delay,I,41,12.818000000000005
Light,OR-MAPPO,delay,I,42,11.568
Light,OR-MAPPO,delay,I,43,11.466000000000001
Light,OR-MAPPO,delay,I,44,10.762000000000002
Light,OR-MAPPO,delay,I,45,11.474
Light,OR-MAPPO,delay,I,46,11.826
Light,OR-MAPPO,delay,I,47,12.493999999999998
Light,OR-MAPPO,delay,I,48,16.384
Light,OR-MAPPO,delay,I,49,11.606
Light,OR-MAPPO,delay,I,50,11.308000000000002
Light,OR-MAPPO,delay,III,1,12.35199998
Light,OR-MAPPO,delay,III,2,12.285333279999998
Light,OR-MAPPO,delay,III,3,11.889333349999998
Light,OR-MAPPO,delay,III,4,12.11266663
Light,OR-MAPPO,delay,III,5,10.975333339999999
Light,OR-MAPPO,delay,III,6,17.98466669
Light,OR-MAPPO,delay,III,7,10.562999990000003
Light,OR-MAPPO,delay,III,8,11.89566666
Light,OR-MAPPO,delay,III,9,16.69233329
Light,OR-MAPPO,delay,III,10,11.529333330000002
Light,OR-MAPPO,delay,III,11,11.96033333
Light,OR-MAPPO,delay,III,12,11.82933327
Light,OR-MAPPO,delay,III,13,12.338999979999999
Light,OR-MAPPO,delay,III,14,15.31733328
Light,OR-MAPPO,delay,III,15,11.32133331
Light,OR-MAPPO,delay,III,16,11.55933331
Light,OR-MAPPO,delay,III,17,12.56800001
Light,OR-MAPPO,delay,III,18,10.459333270000002
Light,OR-MAPPO,delay,III,19,12.008999999999999
Light,OR-MAPPO,delay,III,20,13.01099998
Light,OR-MAPPO,delay,III,21,12.26999997
Light,OR-MAPPO,delay,III,22,10.853666620000002
Light,OR-MAPPO,delay,III,23,11.49433329
Light,OR-MAPPO,delay,III,24,12.124333309999999
Light,OR-MAPPO,delay,III,25,11.728666619999998
Light,OR-MAPPO,delay,III,26,13.80499998
Light,OR-MAPPO,delay,III,27,11.617
Light,OR-MAPPO,delay,III,28,12.288
Light,OR-MAPPO,delay,III,29,11.946666610000001
Light,OR-MAPPO,delay,III,30,11.31566665
Light,OR-MAPPO,delay,III,31,11.96033333
Light,OR-MAPPO,delay,III,32,12.338000020000003
Light,OR-MAPPO,delay,III,33,12.21066664
Light,OR-MAPPO,delay,III,34,13.183333279999998
Light,OR-MAPPO,delay,III,35,13.353666650000001
Light,OR-MAPPO,delay,III,36,12.83133331
Light,OR-MAPPO,delay,III,37,11.65966668
Light,OR-MAPPO,delay,III,38,12.390999980000002
Light,OR-MAPPO,delay,III,39,12.670333340000003
Light,OR-MAPPO,delay,III,40,12.198333330000002
Light,OR-MAPPO,delay,III,41,13.13633331
Light,OR-MAPPO,delay,III,42,12.337999969999998
Light,OR-MAPPO,delay,III,43,11.700000019999997
Light,OR-MAPPO,delay,III,44,12.44666663
Light,OR-MAPPO,delay,III,45,11.63933333
Light,OR-MAPPO,delay,III,46,16.91033334
Light,OR-MAPPO,delay,III,47,11.258333310000001
Light,OR-MAPPO,delay,III,48,12.892999989999998
Light,OR-MAPPO,delay,III,49,11.978666640000002
Light,OR-MAPPO,delay,III,50,12.406666689999998
Light,OR-MAPPO,delay,IV,1,12.210799999999997
Light,OR-MAPPO,delay,IV,2,11.430399999999999
Light,OR-MAPPO,delay,IV,3,12.496600000000003
Light,OR-MAPPO,delay,IV,4,13.429799999999998
Light,OR-MAPPO,delay,IV,5,12.782799999999998
Light,OR-MAPPO,delay,IV,6,12.980599999999999
Light,OR-MAPPO,delay,IV,7,12.786799999999998
Light,OR-MAPPO,delay,IV,8,14.284599999999996
Light,OR-MAPPO,delay,IV,9,12.277799999999997
Light,OR-MAPPO,delay,IV,10,12.5284
Light,OR-MAPPO,delay,IV,11,13.624799999999995
Light,OR-MAPPO,delay,IV,12,11.979199999999997
Light,OR-MAPPO,delay,IV,13,11.624599999999997
Light,OR-MAPPO,delay,IV,14,12.171399999999998
Light,OR-MAPPO,delay,IV,15,13.179999999999998
Light,OR-MAPPO,delay,IV,16,13.7288
Light,OR-MAPPO,delay,IV,17,11.126000000000001
Light,OR-MAPPO,delay,IV,18,11.579799999999999
Light,OR-MAPPO,delay,IV,19,13.0348
Light,OR-MAPPO,delay,IV,20,11.773999999999996
Light,OR-MAPPO,delay,IV,21,11.675399999999998
Light,OR-MAPPO,delay,IV,22,12.025599999999997
Light,OR-MAPPO,delay,IV,23,12.037799999999997
Light,OR-MAPPO,delay,IV,24,12.1038
Light,OR-MAPPO,delay,IV,25,13.073399999999998
Light,OR-MAPPO,delay,IV,26,12.222999999999997
Light,OR-MAPPO,delay,IV,27,11.621799999999999
Light,OR-MAPPO,delay,IV,28,11.829799999999995
Light,OR-MAPPO,delay,IV,29,12.872599999999998
Light,OR-MAPPO,delay,IV,30,11.726799999999999
Light,OR-MAPPO,delay,IV,31,11.176599999999997
Light,OR-MAPPO,delay,IV,32,12.417399999999997
Light,OR-MAPPO,delay,IV,33,13.228399999999997
Light,OR-MAPPO,delay,IV,34,12.7804
Light,OR-MAPPO,delay,IV,35,12.9224
Light,OR-MAPPO,delay,IV,36,12.175
Light,OR-MAPPO,delay,IV,37,11.020199999999999
Light,OR-MAPPO,delay,IV,38,12.6708
Light,OR-MAPPO,delay,IV,39,11.338
Light,OR-MAPPO,delay,IV,40,12.6258
Light,OR-MAPPO,delay,IV,41,12.971199999999994
Light,OR-MAPPO,delay,IV,42,12.129799999999998
Light,OR-MAPPO,delay,IV,43,12.578999999999997
Light,OR-MAPPO,delay,IV,44,13.2584
Light,OR-MAPPO,delay,IV,45,12.776799999999996
Light,OR-MAPPO,delay,IV,46,12.2754
Light,OR-MAPPO,delay,IV,47,12.776799999999996
Light,OR-MAPPO,delay,IV,48,12.481
Light,OR-MAPPO,delay,IV,49,11.818199999999997
Light,OR-MAPPO,delay,IV,50,13.526799999999998
Light,OR-MAPPO,throughput,II,1,99.79779229933337
Light,OR-MAPPO,throughput,II,2,99.28142656733333
Light,OR-MAPPO,throughput,II,3,99.47467658
Light,OR-MAPPO,throughput,II,4,97.01315644933332
Light,OR-MAPPO,throughput,II,5,98.324678964
Light,OR-MAPPO,throughput,II,6,98.50087026399999
Light,OR-MAPPO,throughput,II,7,97.87669979133332
Light,OR-MAPPO,throughput,II,8,98.36409112933333
Light,OR-MAPPO,throughput,II,9,98.740424162
Light,OR-MAPPO,throughput,II,10,98.522128744
Light,OR-MAPPO,throughput,II,11,97.73734276066665
Light,OR-MAPPO,throughput,II,12,97.104236848
Light,OR-MAPPO,throughput,II,13,98.17428341866668
Light,OR-MAPPO,throughput,II,14,98.75076560266665
Light,OR-MAPPO,throughput,II,15,99.88650809466667
Light,OR-MAPPO,throughput,II,16,99.73562064333335
Light,OR-MAPPO,throughput,II,17,98.40916893266667
Light,OR-MAPPO,throughput,II,18,98.58082510466667
Light,OR-MAPPO,throughput,II,19,98.48700374400003
Light,OR-MAPPO,throughput,II,20,97.38290083933333
Light,OR-MAPPO,throughput,II,21,98.17205364066663
Light,OR-MAPPO,throughput,II,22,98.89324131199999
Light,OR-MAPPO,throughput,II,23,98.42171330133333
Light,OR-MAPPO,throughput,II,24,97.70487825533333
Light,OR-MAPPO,throughput,II,25,97.55997823066667
Light,OR-MAPPO,throughput,II,26,98.81477216133335
Light,OR-MAPPO,throughput,II,27,97.404990192
Light,OR-MAPPO,throughput,II,28,98.84760644600001
Light,OR-MAPPO,throughput,II,29,99.477024238
Light,OR-MAPPO,throughput,II,30,98.813968544
Light,OR-MAPPO,throughput,II,31,99.56934169466669
Light,OR-MAPPO,throughput,II,32,98.49839393533334
Light,OR-MAPPO,throughput,II,33,99.24009901000001
Light,OR-MAPPO,throughput,II,34,98.57258363333334
Light,OR-MAPPO,throughput,II,35,98.06069892800002
Light,OR-MAPPO,throughput,II,36,99.17278619266666
Light,OR-MAPPO,throughput,II,37,99.41893534466666
Light,OR-MAPPO,throughput,II,38,99.66515535666666
